,name,z_inv,max_depth,h_0,map_x,map_y,bc,storage,a,b,c,id
25,03y44N,14.26,3.15,0.0,5753.48,6339.0,False,functional,0.0,0.0,1.16,25
26,03y44S,10.31,7.1,0.0,5754.93,6314.27,False,functional,0.0,0.0,1.16,26
27,03y45,15.32,2.11,0.0,5753.48,6192.08,False,functional,0.0,0.0,1.16,27
28,03y46,15.89,3.38,0.0,5753.76,6064.91,False,functional,0.0,0.0,1.16,28
29,03y47,16.45,2.75,0.0,5756.39,5982.61,False,functional,0.0,0.0,1.16,29
30,03y48,16.9,2.08,0.0,5754.93,5886.6,False,functional,0.0,0.0,1.16,30
31,03y49,17.41,1.85,0.0,5756.39,5800.77,False,functional,0.0,0.0,1.16,31
32,03y51,18.58,1.67,0.0,5756.39,5664.03,False,functional,0.0,0.0,1.16,32
33,04y32,4.52,2.75,0.0,5634.39,7742.76,False,functional,0.0,0.0,1.16,33
34,04y36,6.75,6.07,0.0,5635.66,7271.34,False,functional,0.0,0.0,1.16,34
35,04y37,7.85,4.65,0.0,5635.73,7156.65,False,functional,0.0,0.0,1.16,35
36,04y44N,13.31,2.69,0.0,5637.51,6331.7,False,functional,0.0,0.0,1.16,36
37,04y44S,9.39,6.91,0.0,5637.51,6315.7,False,functional,0.0,0.0,1.16,37
38,04y48,17.93,1.22,0.0,5638.56,5885.14,False,functional,0.0,0.0,1.16,38
39,05e48y49,17.6,2.07,0.0,5517.67,5830.6,False,functional,0.0,0.0,1.16,39
40,05y32,0.25,6.62,0.0,5516.36,7744.1,False,functional,0.0,0.0,1.16,40
41,05y33,3.73,4.96,0.0,5517.7,7630.1,False,functional,0.0,0.0,1.16,41
42,05y34,4.17,5.94,0.0,5517.7,7509.39,False,functional,0.0,0.0,1.16,42
43,05y35,4.61,6.26,0.0,5517.7,7391.36,False,functional,0.0,0.0,1.16,43
44,05y36,5.03,5.34,0.0,5517.7,7270.65,False,functional,0.0,0.0,1.16,44
45,05y37,5.62,5.86,0.0,5517.7,7155.31,False,functional,0.0,0.0,1.16,45
46,05y38,6.01,7.99,0.0,5517.7,7033.26,False,functional,0.0,0.0,1.16,46
47,05y39,6.41,8.38,0.0,5517.7,6911.21,False,functional,0.0,0.0,1.16,47
48,05y41,7.16,7.38,0.0,5517.7,6672.48,False,functional,0.0,0.0,1.16,48
49,05y42,7.66,8.34,0.0,5516.36,6555.79,False,functional,0.0,0.0,1.16,49
50,05y43,8.03,7.95,0.0,5516.36,6436.43,False,functional,0.0,0.0,1.16,50
51,05y44,8.3,6.05,0.0,5517.7,6317.06,False,functional,0.0,0.0,1.16,51
52,05y46,16.13,2.37,0.0,5517.99,6083.35,False,functional,0.0,0.0,1.16,52
53,05y47,16.66,2.5,0.0,5517.99,5981.36,False,functional,0.0,0.0,1.16,53
54,05y48,17.15,2.24,0.0,5517.85,5887.79,False,functional,0.0,0.0,1.16,54
55,05y49,17.79,1.65,0.0,5517.99,5800.7,False,functional,0.0,0.0,1.16,55
56,05y50,18.16,1.55,0.0,5518.16,5726.03,False,functional,0.0,0.0,1.16,56
57,05y51,18.76,1.38,0.0,5517.99,5663.75,False,functional,0.0,0.0,1.16,57
58,05yD77,12.94,5.18,0.0,5517.67,6121.81,False,functional,0.0,0.0,1.16,58
59,Cierre,-0.19,inf,0.0,5278.97,7809.82,True,functional,0.0,0.0,1.16,59
